Home,Postcode,Competition
UWE,BS16 1QY,Men's Western Tier 3 
Manchester,M14 6HE,Men's Northern Tier 3
Imperial,TW7 4NQ,Men's South Eastern Tier 3
Queen Mary,,Men's South Eastern Tier 3
UCL,W4 2SH,Men's South Eastern Tier 3
Manchester,M14 6HE,Men's Northern Tier 5
Lancaster,LA1 4YQ,Men's Northern Tier 5
Edge Hill,L39 4QP,ICG Women's Northern Tier 2
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern  Tier 5
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern  Tier 5
LSE,E20 3AD,ICG Women's South Eastern  Tier 5
Lancaster,LA1 4YQ,ICG Women's Northern Tier 5
Newcastle,NE12 8AD,ICG Women's Northern Tier 4
UCLan,PR2 1SG,Men's Northern Tier 2
Sussex,,ICG Women's South Eastern  Tier 5
Strathclyde,,ICG Women's Scottish Conference Plate
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 4
Oxford Brookes,OX3 0GB,Men's Midlands Tier 2
Swansea,SA2 8QB,Men's Western Tier 2 
USW,CF37 5UP,Men's Western Tier 3 
Sheffield,S8 8PS,ICG Women's Northern Tier 2
Birmingham City,B42 2SY,Men's Midlands Tier 3
Cumbria,LA1 3DY,Men's Northern Tier 4
Lincoln,,ICG Women's Midlands Tier 3
Worcester,DY13 8BQ,ICG Women's Midlands Tier 2
Hertfordshire,,ICG Women's South Eastern Tier 2
Southampton,SO50 5PE,ICG Women's Western Tier 4
Liverpool,L18 6HF,ICG Women's Northern Tier 4
Huddersfield,,ICG Women's Northern Tier 5
Gloucestershire,GL2 9DW,Men's Western Tier 4
Canterbury CC,,ICG Women's South Eastern Tier 4
Aston,,Men's Midlands Tier 2
Birmingham,B15 2GR,Men's Midlands Tier 2
Nottingham,NG7 2RJ,Men's Midlands Tier 3
Leeds,LS16 5AU,ICG Women's Northern Tier 2
Leeds,LS16 5AU,Men's Northern Tier 2
Manchester,M14 6HE,ICG Women's Northern Tier 3 
Solent,,ICG Women's Western Tier 4
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Teesside,,ICG Women's Northern Tier 4
Cardiff Met,,ICG Women's Premier
St George's,KT7 0AE,ICG Women's South Eastern Tier 2
Plymouth,PL6 8BH,ICG Women's Western Tier 2
Sheffield Hallam,,Men's Northern Tier 2
Staffordshire,ST15 0BW,ICG Women's Midlands Tier 4
Kingston,KT7 0AE,ICG Women's South Eastern Tier 3 
Kingston,KT7 0AE,Men's South Eastern Tier 2
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
UWE,BS16 1QY,Men's Western Tier 3 
Oxford,OX4 1SR,Men's Midlands Tier 3
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 4
Imperial  (Medics),UB3 5AQ,Men's South Eastern Tier 4
Northampton,NN3 7QL,ICG Women's Midlands Tier 3
Lancaster,LA1 4YQ,ICG Women's Northern Tier 4
UCL,W4 2SH,ICG Women's South Eastern Tier 3 
Queen Mary,,ICG Women's South Eastern Tier 3 
Newcastle,NE12 8AD,Men's Northern Tier 3
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 2
Strathclyde,G33 6ND,ICG Women's Scottish Tier 3
Manchester,M14 6HE,Men's Northern Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2
Leicester,LE2 2LL,ICG Women's Midlands Tier 2
Liverpool Hope,,ICG Women's Northern Tier 4
Exeter,EX4 4QN,Men's Premier
Southampton,SO50 5PE,Men's Western Tier 2 
Birmingham,B15 2GR,ICG Women's Midlands Tier 4
Cardiff,CF14 3AT,Men's Western Tier 2 
Sheffield,S8 8PS,Men's Northern Tier 2
St George's,KT7 0AE,Men's South Eastern Tier 3
City,E20 3AD,Men's South Eastern Tier 4
Imperial,UB3 5AQ,Men's South Eastern Tier 5
Newcastle,NE12 8AD,Men's Northern Tier 5
Bolton,BL1 5BP,Men's Northern Tier 4
Cardiff,CF14 3AT,Men's Premier
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2
Queen Mary,,Men's South Eastern Tier 3
York,YO10 5NA,ICG Women's Northern Tier 2
Stirling,,ICG Women's Scottish Conference Plate
Nottingham,NG7 2RJ,Men's Midlands Tier 4
St George's,KT7 0AE,ICG Women's South Eastern  Tier 5
Portsmouth,PO4 8LW,ICG Women's South Eastern Tier 1
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Southampton,SO50 5PE,ICG Women's Western Tier 3
Royal Holloway,,ICG Women's South Eastern Tier 4
USW,CF37 5UP,ICG Women's Western Tier 5
Kingston,KT7 0AE,Men's South Eastern Tier 2
Edinburgh,,Men's Scottish Tier 4 
Loughborough,LE11 3TU,ICG Women's Midlands Tier 1
Warwick,CV4 8AH,Men's Midlands Tier 1
Liverpool John Moores,,Men's Northern Tier 4
Oxford Brookes,OX3 0GB,Men's Midlands Tier 4
UCL,W4 2SH,Men's South Eastern Tier 5
Cardiff,CF14 3AT,ICG Women's Western Tier 4
Leicester,LE2 2LL,ICG Women's Midlands Tier 4
Surrey,GU2 7AD,ICG Women's South Eastern  Tier 5
Lancaster,LA1 4YQ,ICG Women's Northern Tier 5
Essex,CO4 3SQ,ICG Women's South Eastern Tier 4
Aston,,Men's Midlands Tier 2
Sheffield,S8 8PS,Men's Northern Tier 4
Sussex,,ICG Women's South Eastern Tier 2
De Montfort,,ICG Women's Midlands Tier 4
Coventry,CV4 8GP,ICG Women's Midlands Tier 4
York,YO10 5NA,Men's Northern Tier 3
UCLan,PR2 1SG,ICG Women's Northern Tier 3 
Worcester,DY13 8BQ,ICG Women's Midlands Tier 4
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Cardiff  (Medics),CF14 3AT,Men's Western Tier 3 
Loughborough,LE11 3TU,Men's Midlands Tier 3
Bristol,BS9 2BJ,Men's Western Tier 4
Portsmouth,PO4 8LW,Men's South Eastern Tier 4
Cambridge,CB3 0EQ,ICG Women's Midlands Tier 2
Swansea,SA2 8QB,Men's Western Tier 2 
Aberystwyth,SA48 7BX,ICG Women's Western Tier 3
Royal Veterinary College,,ICG Women's South Eastern Tier 4
Durham,DH1 3SE,Men's Northern Tier 1
Nottingham Trent,,ICG Women's National (Game 1)
Bristol,BS9 2BJ,ICG Women's Western Tier 1
Royal Holloway,,Men's South Eastern Tier 5
Hertfordshire,,ICG Women's South Eastern Tier 2
Stirling,FK9 4LA,ICG Women's Scottish Tier 1
Liverpool John Moores,,Men's Northern Tier 1
Kent,CT2 7SR,Men's South Eastern Tier 1
Surrey,GU2 7AD,Men's South Eastern Tier 1
Exeter,EX4 4QN,ICG Women's Western Tier 1
Leicester,LE2 2LL,ICG Women's Midlands Tier 2
St Andrews,KY16 9DY,Men's Scottish Tier 1
Northumbria,NE7 7XA,ICG Women's Northern Tier 1
King's College,SE23 1NW,Men's South Eastern Tier 5
Edge Hill,L39 4QP,Men's Northern Tier 2
Birmingham,B15 2GR,ICG Women's Midlands Tier 1
Worcester,DY13 8BQ,Men's Midlands Tier 3
Reading,RG6 6UR,Men's South Eastern Tier 3
Gloucestershire,GL2 9DW,Men's Western Tier 1
Keele,,Men's Northern Tier 3
Hartpury,,ICG Women's Western Tier 5
Canterbury CC,,ICG Women's South Eastern Tier 4
Royal Veterinary College,,ICG Women's South Eastern  Tier 5
York,YO10 5NA,ICG Women's Northern Tier 5
Edinburgh,,Men's Scottish Tier 1
Nottingham Trent,,ICG Women's Midlands Tier 4
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Cambridge,CB3 0EQ,Men's Midlands Tier 1
Northampton,NN3 7QL,ICG Women's Midlands Tier 3
Kent,CT2 7SR,ICG Women's South Eastern  Tier 5
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 2
Durham,DH1 3SE,ICG Women's Northern Tier 1
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Exeter,EX4 4QN,Men's Western Tier 1
Bristol,BS9 2BJ,Men's Western Tier 1
Nottingham,NG7 2PS,Men's Midlands Tier 1
Edinburgh,,ICG Women's Scottish Conference Plate
Sheffield,S8 8PS,Men's Northern Tier 1
Brighton  (Eastbourne),,ICG Women's South Eastern Tier 1
Liverpool,L16 9JQ,ICG Women's Northern Tier 1
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 1
Edinburgh,,ICG Women's Scottish Conference Plate
St Andrews,KY16 9DY,Men's Scottish Tier 4 
Cardiff Met,,Men's National Playoff (Game 1)
Oxford,OX4 1SR,Men's Midlands Tier 3
Chester: Chester,,ICG Women's Northern Tier 5
UCLan,PR2 1SG,ICG Women's Northern Tier 3 
UW TSD: Carmarthen,,ICG Women's Western Tier 5
Aberdeen,,ICG Women's Scottish Tier 5
Leicester,LE2 2LL,Men's Midlands Tier 2
Southampton,SO50 5PE,Men's Western Tier 2 
Cardiff,CF14 3AT,Men's Western Tier 3 
Surrey,GU2 7AD,Men's South Eastern Tier 3
Liverpool,L18 6HF,Men's Northern Tier 4
Leeds Beckett,LS6 3QQ,Men's Northern Tier 4
York,YO10 5NA,Men's Northern Tier 5
Nottingham,NG7 2RJ,ICG Women's Midlands Tier 3
Warwick,CV4 8AH,ICG Women's Midlands Tier 3
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 3
Bristol,BS9 2BJ,ICG Women's Western Tier 3
Marjon,,ICG Women's Western Tier 3
Reading,RG6 6UR,ICG Women's South Eastern Tier 4
Royal Agricultural,,ICG Women's Western Tier 5
Winchester,SO23 0QA,ICG Women's Western Tier 5
Heriot-Watt,,ICG Women's Scottish Tier 5
Nottingham Trent,,Men's Midlands Tier 2
Bath,BA2 7AY,Men's Western Tier 2 
Durham,DH1 3SE,Men's Northern Tier 3
Manchester Met,,Men's Northern Tier 4
Leeds,LS16 5AU,Men's Northern Tier 5
Bangor,LL57 2EH,Men's Northern Tier 5
Chester: Chester,,Men's Northern Tier 2
Loughborough,LE11 3TU,ICG Women's Midlands Tier 2
Royal Holloway,,ICG Women's South Eastern Tier 2
Aberystwyth,SA48 7BX,ICG Women's Western Tier 3
Exeter,EX4 4QN,ICG Women's Western Tier 3
Cardiff Met,,ICG Women's Western Tier 3
Bournemouth,BH23 6BL,ICG Women's Western Tier 4
Manchester Met,M14 6HE,ICG Women's Northern Tier 4
Portsmouth,PO4 8LW,ICG Women's South Eastern Tier 4
Glasgow,G20 0SP,ICG Women's Scottish Tier 4
Lancaster,LA1 4YQ,ICG Women's Northern Tier 2
St Andrews,KY16 9DY,ICG Women's Scottish Tier 4
Queen Mary  (Barts),,ICG Women's South Eastern Tier 1
UWE,BS16 1QY,Men's Western Tier 4
Imperial,TW7 4NQ,Men's South Eastern Tier 5
Anglia Ruskin  (Cambridge),CB3 0EQ,ICG Women's Midlands Tier 4
Imperial,UB3 5AQ,ICG Women's South Eastern  Tier 5
Queen Mary  (Barts),,ICG Women's South Eastern  Tier 5
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Greenwich,,Men's South Eastern Tier 4
Sussex,,Men's South Eastern Tier 4
Swansea,SA2 8QB,ICG Women's Western Tier 3
Bucks New,HP7 9HN,ICG Women's South Eastern Tier 4
Strathclyde,G33 6ND,ICG Women's Scottish Tier 5
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
USW,CF37 5UP,Men's Western Tier 3 
De Montfort,,Men's Midlands Tier 3
Harper Adams,,Men's Midlands Tier 3
Liverpool John Moores,,Men's Northern Tier 4
Roehampton,SW15 5JQ,Men's South Eastern Tier 4
Wrexham Glyndwr,LL11 2AW,Men's Northern Tier 5
King's College,SE23 1NW,Men's South Eastern Tier 5
Coventry,CV4 8GP,ICG Women's Midlands Tier 3
Royal Veterinary College,,ICG Women's South Eastern Tier 2
Lincoln,,ICG Women's Midlands Tier 4
Heriot-Watt,,Men's Scottish Tier 3 
Oxford Brookes,OX3 0GB,Men's Midlands Tier 3
Cardiff  (Medics),CF14 3AT,Men's Western Tier 3 
Leeds,LS16 5AU,Men's Northern Tier 4
Nottingham,NG7 2RJ,Men's Midlands Tier 4
Manchester Met,,Men's Northern Tier 2
Reading,RG6 6UR,Men's South Eastern Tier 2
Chichester,PO19 6PE,Men's South Eastern Tier 2
Birmingham,B15 2GR,Men's Midlands Tier 2
Southampton,SO50 5PE,Men's Western Tier 2 
Bangor,LL57 2EH,Men's Northern Tier 3
Bath,BA2 7AY,Men's Western Tier 3 
Durham,DH1 3SE,ICG Women's Northern Tier 2
Chichester,PO19 6PE,ICG Women's South Eastern Tier 2
Leeds,LS16 5AU,ICG Women's Northern Tier 3 
Manchester,M14 6HE,ICG Women's Northern Tier 5
Bournemouth,BH23 6BL,ICG Women's Western Tier 2
Cardiff Met,,ICG Women's Western Tier 2
Bath,BA2 7AY,ICG Women's Western Tier 2
Glasgow,G20 0SP,ICG Women's Scottish Tier 1
Sheffield Hallam,,ICG Women's Northern Tier 4
Newcastle,NE12 8AD,Men's Northern Tier 3
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Warwick,CV4 8AH,Men's Midlands Tier 3
Hertfordshire,,Men's South Eastern Tier 3
Leicester,LE2 2LL,ICG Women's Midlands Tier 4
Keele,,ICG Women's Northern Tier 5
LSE,E20 3AD,ICG Women's South Eastern Tier 3 
Imperial  (Medics),UB3 5AQ,ICG Women's South Eastern Tier 3 
Surrey,GU2 7AD,ICG Women's South Eastern Tier 3 
Kent,CT2 7SR,ICG Women's South Eastern Tier 3 
Bristol,BS9 2BJ,ICG Women's Western Tier 2
Bristol,BS9 2BJ,Men's Western Tier 2 
Liverpool,L18 6HF,Men's Northern Tier 3
Lancaster,LA1 4YQ,Men's Northern Tier 3
Marjon,,Men's Western Tier 4
Portsmouth,PO4 8LW,Men's South Eastern Tier 3
Royal Holloway,,Men's South Eastern Tier 3
Queen Mary  (Barts),,Men's South Eastern Tier 3
Manchester Met,M14 6HE,ICG Women's Northern Tier 2
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 2
York,YO10 5NA,ICG Women's Northern Tier 2
St Mary's,TW11 9BE,ICG Women's South Eastern Tier 2
Manchester,M14 6HE,ICG Women's Northern Tier 3 
UWE,BS16 1QY,ICG Women's Western Tier 4
King's College  (GKT),SE23 1NW,ICG Women's South Eastern  Tier 5
UCL  (RUMS),EN4 0PS,ICG Women's South Eastern  Tier 5
St George's,KT7 0AE,ICG Women's South Eastern  Tier 5
Exeter,EX4 4QN,ICG Women's Western Tier 2
St Andrews,KY16 9DY,Men's Scottish Tier 1
Strathclyde,G33 6ND,ICG Women's Scottish Tier 1
Worcester,DY13 8BQ,Men's Midlands Tier 3
Northumbria,NE7 7XA,Men's Northern Tier 2
Edinburgh,,Men's Scottish Tier 2 
Royal Veterinary College,,ICG Women's South Eastern Tier 4
Sheffield,S8 8PS,Men's Northern Tier 5
UCLan,PR2 1SG,ICG Women's Northern Tier 3 
Lincoln,,Men's Midlands Tier 2
Coventry,CV4 8GP,Men's Midlands Tier 2
Southampton,SO50 5PE,Men's Western Tier 3 
Chichester,PO19 6PE,Men's South Eastern Tier 4
Brunel,UB8 3PH,Men's South Eastern Tier 4
Essex,CO4 3SQ,Men's South Eastern Tier 4
Oxford Brookes,OX3 0GB,ICG Women's Midlands Tier 2
Huddersfield,,ICG Women's Northern Tier 5
Glasgow,G20 0SP,ICG Women's Scottish Tier 2
Nottingham,NG7 2RJ,Men's Midlands Tier 2
Bath,BA2 7AY,Men's Western Tier 2 
Leeds,LS16 5AU,Men's Northern Tier 2
Birmingham,B15 2GR,ICG Women's Midlands Tier 2
Gloucestershire,GL2 9DW,ICG Women's Western Tier 4
Cumbria,LA1 3DY,ICG Women's Northern Tier 4
Bangor,LL57 2EH,ICG Women's Northern Tier 5
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Derby,DE22 1JD,ICG Women's Midlands Tier 4
Nottingham Trent,,Men's Midlands Tier 3
Plymouth,PL6 8BH,ICG Women's Western Tier 4
Durham,DH1 3SE,ICG Women's Northern Tier 3 
Staffordshire,ST15 0BW,ICG Women's Midlands Tier 4
Kent,CT2 7SR,ICG Women's South Eastern  Tier 5
Stirling,FK9 4LA,Men's Scottish Tier 4 
UCL  (RUMS),EN4 0PS,Men's South Eastern Tier 5
UCL,W4 2SH,Men's South Eastern Tier 5
Newcastle,NE12 8AD,Men's Northern Tier 2
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Imperial,UB3 5AQ,ICG Women's South Eastern Tier 2
Liverpool,L18 6HF,ICG Women's Northern Tier 4
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Bath Spa,,ICG Women's Western Tier 4
Arts London,E20 3AD,ICG Women's South Eastern Tier 4
Dundee,DD2 1UQ,ICG Women's Scottish Tier 4
St Mary's,TW11 9BE,Men's South Eastern Tier 1
Leicester,LE2 2LL,Men's Midlands Tier 4
Leeds Beckett,LS6 3QQ,ICG Women's Northern Tier 4
Warwick,CV4 8AH,Men's Midlands Tier 1
York,YO10 5NA,Men's Northern Tier 3
Exeter,EX4 4QN,Men's Western Tier 3 
King's College  (GKT),SE23 1NW,Men's South Eastern Tier 3
Manchester,M14 6HE,Men's Northern Tier 2
Manchester,M14 6HE,ICG Women's Northern Tier 3 
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 3 
Edinburgh,,ICG Women's Scottish Tier 5
UWS,G41 4LB,ICG Women's Scottish Tier 5
Glasgow Caledonian,G40 1HB,ICG Women's Scottish Tier 3
Brighton  (Eastbourne),,ICG Women's South Eastern  Tier 5
Cardiff,CF14 3AT,Men's Western Tier 2 
Cambridge,CB3 0EQ,ICG Women's Midlands Tier 2
Sheffield,S8 8PS,ICG Women's Northern Tier 3 
Edinburgh,,Men's Scottish Tier 1
Cardiff Met,,ICG Women's Western Tier 4
East London,,Men's South Eastern Tier 5
Bradford,BD9 6RB,ICG Women's Northern Tier 4
Nottingham Trent,,ICG Women's Midlands Tier 3
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
De Montfort,,ICG Women's Midlands Tier 4
Chester: Chester,,ICG Women's Northern Tier 5
Robert Gordon,AB24 1XP,ICG Women's Scottish Tier 2
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Edinburgh Napier,,ICG Women's Scottish Tier 3
UCLan,PR2 1SG,Men's Northern Tier 2
Kent,CT2 7SR,ICG Women's South Eastern  Tier 5
Queen Mary  (Barts),,ICG Women's South Eastern  Tier 5
Edinburgh,,ICG Women's Scottish Conference Plate
Bedfordshire,MK41 9EA,Men's Midlands Tier 4
Hull,,Men's Northern Tier 4
Edge Hill,L39 4QP,ICG Women's Northern Tier 5
Robert Gordon,AB24 1XP,ICG Women's Scottish Tier 5
Liverpool John Moores,,Men's Northern Tier 4
Cardiff  (Medics),CF14 3AT,ICG Women's Western Tier 3
Royal Holloway,,ICG Women's South Eastern  Tier 5
Aberdeen,,Men's Scottish Tier 1
Kent,CT2 7SR,Men's South Eastern Tier 5
UCLan,PR2 1SG,Men's Northern Tier 2
York,YO10 5NA,ICG Women's Northern Tier 5
Aston,,Men's Midlands Tier 4
De Montfort,,ICG Women's Midlands Tier 4
Sussex,,ICG Women's South Eastern  Tier 5
UWE,BS16 1QY,Men's Western Tier 4
Durham,,ICG Women's Championship
Chester: Chester,,ICG Women's Northern Tier 2
Birmingham,B15 2GR,ICG Women's Midlands Tier 4
Dundee,DD2 1UQ,ICG Women's Scottish Tier 1
Kingston,KT7 0AE,ICG Women's South Eastern Tier 3 
Nottingham Trent,,ICG Women's Midlands Tier 4
Kent,CT2 7SR,Men's South Eastern Tier 1
Bristol,BS9 2BJ,ICG Women's Western Tier 4
Liverpool,L18 6HF,ICG Women's Northern Tier 4
Brunel,UB8 3PH,ICG Women's South Eastern  Tier 5
Liverpool John Moores,,ICG Women's Northern Tier 5
Nottingham,,ICG Women's Championship
Aberdeen,,ICG Women's Scottish Tier 2
Strathclyde,G33 6ND,ICG Women's Scottish Tier 1
Cardiff Met,,ICG Women's National Playoff (Game 2)
Aberdeen,,Men's Scottish Tier 4 
Swansea,SA2 8QB,Men's Western Tier 4
King's College,SE23 1NW,ICG Women's South Eastern Tier 4
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Oxford Brookes,,Men's National Playoff (Game 2)
Sheffield,S8 8PS,Men's Northern Tier 2
Birmingham City,B42 2SY,Men's Midlands Tier 3
Lincoln,,ICG Women's Midlands Tier 3
Brighton,,Men's South Eastern Tier 2
Durham,,Men's Championship
Oxford,OX4 1SR,ICG Women's Midlands Tier 2
Imperial,UB3 5AQ,ICG Women's South Eastern  Tier 5
Surrey,GU2 7AD,ICG Women's South Eastern Tier 1
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 2
Bristol,BS9 2BJ,ICG Women's Western Tier 3
Exeter,EX4 4QN,Men's Western Tier 3 
Liverpool,L18 6HF,ICG Women's Northern Tier 2
King's College,SE23 1NW,Men's South Eastern Tier 2
Cardiff Met,,Men's Western Tier 1
Brighton  (Eastbourne),,ICG Women's South Eastern  Tier 5
Nottingham Trent,,Men's Championship
Aberdeen,,ICG Women's Scottish Tier 5
St Andrews,,ICG Women's Scottish Tier 5
De Montfort,,ICG Women's Midlands Tier 4
Brunel,UB8 3PH,ICG Women's South Eastern Tier 2
Harper Adams,,ICG Women's Midlands Tier 4
Reading,RG6 6UR,ICG Women's South Eastern Tier 1
Liverpool,L18 6HF,ICG Women's Northern Tier 2
York St John,,Men's Northern Tier 5
City,E20 3AD,ICG Women's South Eastern Tier 4
Bedfordshire,MK41 9EA,Men's Midlands Tier 4
Bournemouth,BH23 6BL,Men's Western Tier 2 
Cardiff,CF14 3AT,Men's Western Tier 2 
Edge Hill,L39 4QP,Men's Northern Tier 2
Bedfordshire,MK41 9EA,ICG Women's Midlands Tier 4
Exeter,EX4 4QN,ICG Women's Western Tier 2
Edinburgh Napier,,ICG Women's Scottish Tier 3
Heriot-Watt,,ICG Women's Scottish Tier 5
Kent,CT2 7SR,ICG Women's South Eastern Tier 2
Imperial,UB3 5AQ,ICG Women's South Eastern  Tier 5
Coventry,CV4 8GP,Men's Midlands Tier 2
Oxford Brookes,OX3 0GB,Men's Midlands Tier 3
Bucks New,HP7 9HN,Men's South Eastern Tier 5
Harper Adams,,ICG Women's Midlands Tier 3
King's College,SE23 1NW,ICG Women's South Eastern Tier 4
Keele,,ICG Women's Northern Tier 5
Sussex,,Men's South Eastern Tier 2
Loughborough,LE11 3TU,Men's Midlands Tier 2
Chichester,PO19 6PE,Men's South Eastern Tier 4
Southampton,SO50 5PE,ICG Women's Western Tier 4
Swansea,,ICG Women's Western Tier 3
Reading,RG6 6UR,ICG Women's South Eastern Tier 3 
Cardiff,CF14 3AT,ICG Women's Western Tier 2
Swansea,SA2 8QB,Men's Western Tier 4
Bristol,BS9 2BJ,ICG Women's Western Tier 4
Kent,CT2 7SR,ICG Women's South Eastern  Tier 5
Manchester,M14 6HE,ICG Women's Northern Tier 5
Brunel,UB8 3PH,Men's South Eastern Tier 2
Exeter,EX4 4QN,ICG Women's Western Tier 2
Portsmouth,PO4 8LW,Men's South Eastern Tier 3
USW,CF37 5UP,ICG Women's Western Tier 5
Surrey,GU2 7AD,ICG Women's South Eastern  Tier 5
Sheffield,S8 8PS,ICG Women's Northern Tier 2
Birmingham City,B42 2SY,ICG Women's Midlands Tier 3
Lincoln,,ICG Women's Midlands Tier 4
Roehampton,SW15 5JQ,ICG Women's South Eastern  Tier 5
Brighton,,Men's South Eastern Tier 2
Derby,DE22 1JD,Men's Midlands Tier 4
Harper Adams,,Men's Midlands Tier 3
Kent,CT2 7SR,Men's South Eastern Tier 5
Staffordshire,ST15 0BW,ICG Women's Midlands Tier 4
Bath Spa,,ICG Women's Western Tier 4
Queen Mary  (Barts),,ICG Women's South Eastern Tier 1
Bristol,BS9 2BJ,Men's Western Tier 3 
Liverpool,L18 6HF,ICG Women's Northern Tier 2
King's College  (GKT),SE23 1NW,ICG Women's South Eastern Tier 2
Stirling,FK9 4LA,Men's Scottish Tier 2 
Brighton  (Eastbourne),,ICG Women's South Eastern  Tier 5
Lincoln,,ICG Women's Midlands Tier 3
Robert Gordon,AB24 5RU,ICG Women's Scottish Tier 5
Birmingham,,ICG Women's Midlands Tier 4
Kent,CT2 7SR,Men's South Eastern Tier 4
Harper Adams,,ICG Women's Midlands Tier 4
Cardiff Met,,ICG Women's Western Tier 2
Bristol,BS9 2BJ,ICG Women's Western Tier 4
Nottingham,,ICG Women's Championship
Durham,,Men's Championship
Aberdeen,,ICG Women's Scottish Tier 2
Strathclyde,G33 6ND,ICG Women's Scottish Tier 3
LSE,E20 3AD,Men's South Eastern Tier 5
Robert Gordon,AB24 5RU,Men's Scottish Tier 4 
East London,,ICG Women's South Eastern  Tier 5
Reading,RG6 6UR,ICG Women's South Eastern Tier 3 
Derby,DE22 1JD,ICG Women's Midlands Tier 4
UCL,W4 2SH,Men's South Eastern Tier 2
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
St Andrews,KY16 9DY,ICG Women's Scottish Tier 1
St Andrews,KY16 9DY,ICG Women's Scottish Tier 3
Heriot-Watt,,ICG Women's Scottish Tier 5
Stirling,FK9 4LA,ICG Women's Scottish Tier 5
Heriot-Watt,,Men's Scottish Tier 3
Abertay,DD4 7AA,ICG Women's Scottish Tier 5
St Andrews,KY16 9DY,Men's Scottish Tier 1
Edinburgh,,ICG Women's Scottish Tier 4
Glasgow,G20 0SP,ICG Women's Scottish Tier 5
Aberdeen,,ICG Women's Scottish Tier 4
Strathclyde,G33 6ND,Men's Scottish Tier 3
Dundee,DD2 1UQ,ICG Women's Scottish Tier 4
Edinburgh,,ICG Women's Scottish Tier 1
Stirling,FK9 4LA,Men's Scottish Tier 2
Glasgow,G20 0SP,ICG Women's Scottish Tier 2
Birmingham,B15 2GR,ICG Women's Premier (National)
Edinburgh,,ICG Women's Premier (National)
Swansea,,ICG Women's Premier (North/South)
Abertay,DD4 7AA,ICG Women's Scottish Tier 2
Bristol,BS9 2BJ,ICG Women's Premier (North/South)
Cardiff,CF14 3AT,ICG Women's Premier (North/South)
Edinburgh,,Men's Scottish Tier 2
Strathclyde,G33 6ND,Men's Scottish Tier 3
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
Aberdeen,,Men's Scottish Tier 1
Glasgow,G20 0SP,ICG Women's Scottish Tier 1
Edinburgh,,ICG Women's Scottish Tier 1
Oxford,OX4 1SR,ICG Women's Premier (National)
St Andrews,KY16 9DY,ICG Women's Scottish Tier 3
Birmingham,B15 2GR,ICG Women's Premier (North/South)
Durham,DH1 3SE,ICG Women's Premier (North/South)
UWS,G41 4LB,ICG Women's Scottish Tier 5
Glasgow Caledonian,G40 1HB,Men's Scottish Tier 2
Dundee,DD2 1UQ,ICG Women's Scottish Tier 5
Edinburgh,,ICG Women's Scottish Tier 3
Heriot-Watt,,ICG Women's Scottish Tier 2
St Andrews,KY16 9DY,ICG Women's Scottish Tier 5
Newcastle,NE12 8AD,ICG Women's Premier (North/South)
